iter	RMSE
0	0.2721168451
1	0.260277016
2	0.2496830849
3	0.2400089336
4	0.2312991411
5	0.2234962493
6	0.216544937
7	0.2104374721
8	0.2049453099
9	0.1999382035
10	0.1953619482
11	0.1915318664
12	0.1879527284
13	0.1846649166
14	0.1818672104
15	0.1794070713
16	0.1772225536
17	0.1752833947
18	0.1735644332
19	0.1718295339
20	0.1703524051
21	0.1689608847
22	0.167744615
23	0.1668227582
24	0.1658273096
25	0.164879181
26	0.164071112
27	0.1633667644
28	0.1627586662
29	0.1621920434
30	0.1616231449
31	0.1611619178
32	0.1606667621
33	0.1601956061
34	0.1598245174
35	0.1594409048
36	0.1590915566
37	0.1587470823
38	0.1584812637
39	0.1581854897
40	0.1579062736
41	0.1576518588
42	0.1574393714
43	0.1571791301
44	0.1569906975
45	0.1567636187
46	0.1566033546
47	0.1564288814
48	0.1562189354
49	0.1560911099
50	0.1559418977
51	0.1557647937
52	0.1556082551
53	0.1555474586
54	0.1553793836
55	0.1552695422
56	0.1551141885
57	0.1549774747
58	0.154895959
59	0.1548099512
60	0.154725904
61	0.1546456127
62	0.1545910266
63	0.154543047
64	0.1544720105
65	0.154322933
66	0.1542571661
67	0.1541964733
68	0.1540853149
69	0.153998982
70	0.153940799
71	0.1538058906
72	0.1537009646
73	0.1536357056
74	0.1535408813
75	0.153477496
76	0.1534144927
77	0.1533055363
78	0.1532648361
79	0.1531890757
80	0.153128431
81	0.1530499734
82	0.1529710655
83	0.1529150121
84	0.1528615109
85	0.1527825173
86	0.1527504931
87	0.1527034631
88	0.1526348604
89	0.1525837659
90	0.1525354444
91	0.1524942016
92	0.1524270358
93	0.1523812021
94	0.1523358081
95	0.15225465
96	0.1522055999
97	0.152154407
98	0.1521193806
99	0.1520910391
100	0.1520548494
101	0.1520155225
102	0.1519870776
103	0.151959381
104	0.15189632
105	0.1518641284
106	0.1518272692
107	0.1517705064
108	0.1517414203
109	0.1517029804
110	0.1516915303
111	0.1516576315
112	0.1516178867
113	0.1515633941
114	0.1515356982
115	0.1514948579
116	0.1514658649
117	0.1514347586
118	0.1514180172
119	0.1513857294
120	0.1513399475
121	0.1513006437
122	0.1512714781
123	0.1512417612
124	0.1512243191
125	0.1511938064
126	0.1511531783
127	0.1511066337
128	0.151076758
129	0.1510556239
130	0.151011446
131	0.1509867014
132	0.1509510367
133	0.1509351751
134	0.150907663
135	0.1508601839
136	0.1508301602
137	0.1507811664
138	0.150750671
139	0.1507047443
140	0.1506940879
141	0.1506476009
142	0.1506318309
143	0.150614515
144	0.1505912137
145	0.1505557323
146	0.150539546
147	0.1505021247
148	0.1504684551
149	0.1504506775
150	0.1504248214
151	0.1504013397
152	0.1503667971
153	0.1503366407
154	0.1503157268
155	0.1502642968
156	0.1502414963
157	0.1502282046
158	0.1501972097
159	0.1501856079
160	0.1501446286
161	0.1501238633
162	0.1500746035
163	0.1500570264
164	0.1500217661
165	0.150008264
166	0.1499752412
167	0.1499353738
168	0.1499123387
169	0.14987713
170	0.1498571108
171	0.149809947
172	0.1497627767
173	0.1497326348
174	0.1497148446
175	0.1496799091
176	0.1496488545
177	0.149634132
178	0.1496219543
179	0.1495773915
180	0.1495516686
181	0.1495405783
182	0.1494971628
183	0.1494813757
184	0.1494536629
185	0.1494288541
186	0.149397149
187	0.1493676536
188	0.1493409836
189	0.1493183069
190	0.1492889526
191	0.1492778884
192	0.1492573468
193	0.1492227272
194	0.1492132129
195	0.1491912067
196	0.1491634532
197	0.1491323146
198	0.1490952686
199	0.1490784689
200	0.1490517189
201	0.1490238607
202	0.1489889613
203	0.1489607665
204	0.1489318721
205	0.1489230586
206	0.1489098714
207	0.1488849124
208	0.1488677096
209	0.1488584736
210	0.1488225134
