iter	Passed	Remaining
0	8	8390
1	14	7176
2	21	7281
3	28	7187
4	36	7310
5	43	7215
6	52	7394
7	59	7321
8	66	7277
9	73	7304
10	80	7259
11	89	7331
12	96	7302
13	105	7432
14	113	7423
15	121	7499
16	129	7503
17	138	7565
18	145	7536
19	155	7605
20	163	7641
21	172	7653
22	179	7609
23	189	7690
24	196	7665
25	205	7683
26	212	7665
27	220	7653
28	227	7619
29	236	7646
30	243	7609
31	251	7614
32	260	7634
33	268	7623
34	276	7631
35	286	7673
36	296	7717
37	305	7721
38	314	7749
39	323	7756
40	346	8096
41	380	8684
42	390	8695
43	406	8829
44	415	8815
45	422	8762
46	430	8725
47	439	8714
48	448	8700
49	455	8646
50	462	8605
51	469	8554
52	477	8524
53	483	8472
54	491	8437
55	497	8394
56	505	8356
57	512	8317
58	518	8271
59	526	8252
60	533	8212
61	540	8173
62	546	8135
63	553	8096
64	561	8079
65	569	8055
66	576	8029
67	584	8006
68	591	7986
69	599	7959
70	605	7927
71	613	7906
72	620	7881
73	628	7864
74	635	7839
75	643	7819
76	649	7790
77	657	7776
78	665	7753
79	672	7738
80	680	7716
81	687	7697
82	694	7674
83	701	7647
84	708	7624
85	715	7605
86	722	7586
87	729	7557
88	737	7544
89	745	7533
90	752	7516
91	759	7493
92	766	7474
93	774	7465
94	781	7442
95	789	7432
96	796	7411
97	803	7393
98	809	7371
99	816	7352
100	824	7338
101	831	7316
102	855	7449
103	860	7417
104	868	7403
105	875	7380
106	882	7362
107	889	7345
108	895	7321
109	902	7304
110	908	7279
111	916	7268
112	923	7250
113	930	7235
114	937	7216
115	944	7198
116	952	7187
117	959	7170
118	966	7153
119	972	7133
120	980	7122
121	989	7117
122	996	7104
123	1003	7089
124	1010	7072
125	1019	7072
126	1026	7055
127	1033	7043
128	1040	7028
129	1048	7013
130	1055	7000
131	1062	6987
132	1071	6983
133	1079	6976
134	1086	6964
135	1094	6953
136	1101	6937
137	1108	6924
138	1115	6910
139	1122	6897
140	1129	6880
141	1136	6867
142	1143	6851
143	1150	6839
144	1157	6825
145	1165	6815
146	1171	6798
147	1181	6798
148	1189	6791
149	1196	6782
150	1204	6769
151	1211	6761
152	1218	6748
153	1227	6740
154	1234	6728
155	1242	6720
156	1251	6717
157	1258	6704
158	1265	6693
159	1272	6680
160	1280	6675
161	1288	6665
162	1296	6659
163	1303	6646
164	1312	6643
165	1318	6626
166	1326	6617
167	1333	6604
168	1341	6596
169	1350	6591
170	1359	6589
171	1367	6583
172	1377	6584
173	1385	6577
174	1393	6571
175	1400	6556
176	1408	6547
177	1414	6534
178	1421	6520
179	1428	6509
180	1435	6497
181	1442	6482
182	1449	6472
183	1457	6463
184	1464	6450
185	1471	6441
186	1478	6429
187	1486	6420
188	1494	6412
189	1502	6405
190	1509	6393
191	1516	6381
192	1523	6370
193	1531	6364
194	1538	6353
195	1545	6339
196	1552	6330
197	1560	6320
198	1569	6316
199	1576	6305
200	1584	6297
201	1592	6289
202	1600	6283
203	1607	6271
204	1614	6262
205	1621	6248
206	1627	6236
207	1635	6226
208	1641	6213
209	1650	6208
210	1657	6198
211	1664	6187
212	1671	6177
213	1679	6169
214	1688	6164
215	1697	6160
216	1703	6147
217	1710	6136
218	1718	6126
219	1724	6115
220	1733	6109
221	1741	6103
222	1748	6093
223	1755	6083
224	1763	6074
225	1770	6064
226	1778	6057
227	1786	6049
228	1794	6041
229	1801	6032
230	1808	6020
231	1815	6009
232	1821	5997
233	1829	5987
234	1836	5977
235	1843	5968
236	1851	5960
237	1859	5953
238	1866	5943
239	1873	5932
240	1880	5921
241	1887	5910
242	1894	5902
243	1901	5891
244	1908	5882
245	1915	5872
246	1923	5862
247	1930	5853
248	1937	5842
249	1945	5837
250	1951	5824
251	1959	5816
252	1966	5806
253	1973	5795
254	1980	5785
255	1987	5775
256	1995	5769
257	2002	5758
258	2010	5751
259	2016	5739
260	2023	5730
261	2030	5720
262	2042	5723
263	2049	5713
264	2058	5709
265	2064	5697
266	2073	5691
267	2079	5680
268	2087	5672
269	2095	5666
270	2104	5661
271	2111	5652
272	2119	5644
273	2125	5631
274	2132	5622
275	2140	5615
276	2148	5609
277	2158	5606
278	2167	5600
279	2175	5593
280	2183	5586
281	2192	5581
282	2201	5577
283	2208	5569
284	2216	5561
285	2225	5557
286	2235	5553
287	2243	5545
288	2251	5538
289	2259	5532
290	2266	5523
291	2274	5515
292	2283	5510
293	2294	5509
294	2302	5503
295	2309	5493
296	2318	5487
297	2325	5477
298	2332	5468
299	2340	5461
300	2349	5455
301	2356	5447
302	2364	5440
303	2373	5433
304	2381	5426
305	2391	5423
306	2398	5413
307	2405	5403
308	2414	5398
309	2421	5389
310	2429	5382
311	2438	5377
312	2447	5371
313	2453	5360
314	2462	5354
315	2470	5346
316	2478	5339
317	2486	5332
318	2495	5326
319	2503	5320
320	2511	5313
321	2518	5302
322	2526	5295
323	2534	5289
324	2542	5280
325	2550	5272
326	2558	5265
327	2567	5259
328	2576	5253
329	2585	5248
330	2595	5245
331	2603	5237
332	2611	5229
333	2618	5220
334	2626	5213
335	2634	5205
336	2644	5202
337	2651	5193
338	2658	5184
339	2666	5175
340	2673	5167
341	2682	5160
342	2690	5153
343	2698	5145
344	2705	5136
345	2714	5130
346	2723	5124
347	2731	5117
348	2739	5110
349	2746	5101
350	2754	5093
351	2763	5086
352	2769	5076
353	2780	5073
354	2790	5069
355	2799	5065
356	2809	5061
357	2816	5050
358	2826	5047
359	2833	5037
360	2844	5035
361	2853	5029
362	2861	5021
363	2869	5013
364	2877	5006
365	2885	4999
366	2893	4990
367	2901	4982
368	2910	4976
369	2924	4979
370	2944	4991
371	2968	5010
372	2991	5028
373	3005	5030
374	3018	5030
375	3027	5024
376	3038	5021
377	3050	5018
378	3059	5013
379	3070	5009
380	3082	5007
381	3099	5015
382	3111	5012
383	3123	5011
384	3137	5011
385	3150	5011
386	3163	5010
387	3176	5009
388	3187	5006
389	3201	5007
390	3217	5010
391	3230	5010
392	3241	5006
393	3255	5007
394	3271	5010
395	3286	5012
396	3299	5011
397	3311	5008
398	3327	5012
399	3338	5008
400	3351	5006
401	3363	5003
402	3374	4998
403	3383	4991
404	3393	4985
405	3403	4978
406	3413	4973
407	3424	4968
408	3434	4962
409	3446	4959
410	3457	4954
411	3468	4949
412	3479	4945
413	3491	4941
414	3500	4934
415	3509	4926
416	3518	4918
417	3530	4915
418	3543	4913
419	3554	4909
420	3563	4901
421	3575	4897
422	3588	4894
423	3598	4888
424	3608	4881
425	3619	4876
426	3627	4868
427	3642	4868
428	3654	4864
429	3663	4855
430	3673	4849
431	3684	4844
432	3693	4836
433	3703	4830
434	3712	4822
435	3723	4816
436	3733	4810
437	3742	4802
438	3754	4798
439	3767	4795
440	3777	4787
441	3787	4782
442	3798	4775
443	3807	4768
444	3819	4763
445	3833	4761
446	3842	4753
447	3855	4750
448	3869	4748
449	3878	4740
450	3889	4734
451	3903	4732
452	3915	4727
453	3925	4721
454	3938	4717
455	3948	4710
456	3958	4703
457	3968	4696
458	3979	4689
459	3990	4684
460	4001	4679
461	4012	4672
462	4020	4663
463	4032	4658
464	4042	4650
465	4052	4643
466	4062	4636
467	4069	4626
468	4082	4622
469	4100	4624
470	4112	4618
471	4124	4613
472	4135	4607
473	4151	4607
474	4162	4601
475	4170	4591
476	4179	4582
477	4187	4572
478	4196	4564
479	4206	4557
480	4214	4547
481	4223	4539
482	4232	4530
483	4242	4523
484	4252	4515
485	4264	4509
486	4272	4500
487	4281	4492
488	4291	4484
489	4300	4476
490	4310	4468
491	4320	4460
492	4328	4451
493	4336	4441
494	4344	4432
495	4353	4423
496	4363	4416
497	4375	4410
498	4386	4403
499	4395	4395
500	4405	4388
501	4415	4380
502	4425	4373
503	4436	4365
504	4444	4356
505	4455	4349
506	4464	4341
507	4474	4333
508	4484	4325
509	4492	4315
510	4501	4308
