id,Target
76518,Dropout
76519,Dropout
76520,Dropout
76521,Dropout
76522,Dropout
76523,Dropout
76524,Dropout
76525,Dropout
76526,Dropout
76527,Dropout
76528,Dropout
76529,Dropout
76530,Dropout
76531,Dropout
76532,Dropout
76533,Dropout
76534,Dropout
76535,Dropout
76536,Dropout
76537,Dropout
76538,Dropout
76539,Dropout
76540,Dropout
76541,Dropout
76542,Dropout
76543,Dropout
76544,Dropout
76545,Dropout
76546,Dropout
76547,Dropout
76548,Dropout
76549,Dropout
76550,Dropout
76551,Dropout
76552,Dropout
76553,Dropout
76554,Dropout
76555,Dropout
76556,Dropout
76557,Dropout
76558,Dropout
76559,Dropout
76560,Dropout
76561,Dropout
76562,Dropout
76563,Dropout
76564,Dropout
76565,Dropout
76566,Dropout
76567,Dropout
76568,Dropout
76569,Dropout
76570,Dropout
76571,Dropout
76572,Dropout
76573,Dropout
76574,Dropout
76575,Dropout
76576,Dropout
76577,Dropout
76578,Dropout
76579,Dropout
76580,Dropout
76581,Dropout
76582,Dropout
76583,Dropout
76584,Dropout
76585,Dropout
76586,Dropout
76587,Dropout
76588,Dropout
76589,Dropout
76590,Dropout
76591,Dropout
76592,Dropout
76593,Dropout
76594,Dropout
76595,Dropout
76596,Dropout
76597,Dropout
76598,Dropout
76599,Dropout
76600,Dropout
76601,Dropout
76602,Dropout
76603,Dropout
76604,Dropout
76605,Dropout
76606,Dropout
76607,Dropout
76608,Dropout
76609,Dropout
76610,Dropout
76611,Dropout
76612,Dropout
76613,Dropout
76614,Dropout
76615,Dropout
76616,Dropout
76617,Dropout
76618,Dropout
76619,Dropout
76620,Dropout
76621,Dropout
76622,Dropout
76623,Dropout
76624,Dropout
76625,Dropout
76626,Dropout
76627,Dropout
76628,Dropout
76629,Dropout
76630,Dropout
76631,Dropout
76632,Dropout
76633,Dropout
76634,Dropout
76635,Dropout
76636,Dropout
76637,Dropout
76638,Dropout
76639,Dropout
76640,Dropout
76641,Dropout
76642,Dropout
76643,Dropout
76644,Dropout
76645,Dropout
76646,Dropout
76647,Dropout
76648,Dropout
76649,Dropout
76650,Dropout
76651,Dropout
76652,Dropout
76653,Dropout
76654,Dropout
76655,Dropout
76656,Dropout
76657,Dropout
76658,Dropout
76659,Dropout
76660,Dropout
76661,Dropout
76662,Dropout
76663,Dropout
76664,Dropout
76665,Dropout
76666,Dropout
76667,Dropout
76668,Dropout
76669,Dropout
76670,Dropout
76671,Dropout
76672,Dropout
76673,Dropout
76674,Dropout
76675,Dropout
76676,Dropout
76677,Dropout
76678,Dropout
76679,Dropout
76680,Dropout
76681,Dropout
76682,Dropout
76683,Dropout
76684,Dropout
76685,Dropout
76686,Dropout
76687,Dropout
76688,Dropout
76689,Dropout
76690,Dropout
76691,Dropout
76692,Dropout
76693,Dropout
