iter	MultiClass
0	0.9418642841
1	0.8354693392
2	0.7612528353
3	0.7033648834
4	0.6616901399
5	0.6287541056
6	0.6018605974
7	0.5789834858
8	0.5627083632
9	0.5476683133
10	0.5360738518
11	0.5258296945
12	0.5173748333
13	0.510171714
14	0.5050352966
15	0.4997774869
16	0.4949543066
17	0.4917074115
18	0.4883627826
19	0.4855625564
20	0.4830587654
21	0.4806604928
22	0.4784231142
23	0.4761496945
24	0.4745211007
25	0.4729982763
26	0.4715613052
27	0.4700502766
28	0.4692546832
29	0.4676523946
30	0.4663679867
31	0.4655000692
32	0.4648350293
33	0.4639315221
34	0.4627658155
35	0.4620840212
36	0.4611279648
37	0.4603841701
38	0.4595420793
39	0.4590730339
40	0.4584598821
41	0.4581559311
42	0.4575507288
43	0.456592007
44	0.4560267592
45	0.4557156358
46	0.4552429902
47	0.4546236388
48	0.4542729496
49	0.4539128626
50	0.4535231774
51	0.4530627212
52	0.4526292382
53	0.4520564463
54	0.4514348214
55	0.4511769747
56	0.4508421642
57	0.4503925863
58	0.4501951608
59	0.4498539642
60	0.4494913368
61	0.449025825
62	0.4488244347
63	0.4484784043
64	0.4482887715
65	0.4480388567
66	0.4477460679
67	0.4475370336
68	0.4471874217
69	0.4470264817
70	0.4466964828
71	0.4465129303
72	0.4463703836
73	0.4462144836
74	0.4460602847
75	0.4454838136
76	0.4452908
77	0.4449648262
78	0.4447993824
79	0.4443948938
80	0.4440262634
81	0.4437925412
82	0.4434081995
83	0.4432558895
84	0.4428924224
85	0.4425548789
86	0.4424084639
87	0.4423201323
88	0.4421733414
89	0.442053382
90	0.441725488
91	0.4415869896
92	0.4412965218
93	0.4411479091
94	0.4409276157
95	0.4406590725
96	0.4403638511
97	0.4402097399
98	0.4401058256
99	0.4400248887
100	0.4398060249
101	0.4396929191
102	0.4395703255
103	0.4394027901
104	0.4392199432
105	0.4390193093
106	0.4388070487
107	0.4384774232
108	0.4382991625
109	0.4382181641
110	0.438053662
111	0.4378259324
112	0.4376822254
113	0.4375341101
114	0.4373027497
115	0.4370566318
116	0.4366536592
117	0.4364722176
118	0.436243126
119	0.4357510781
120	0.4355926676
121	0.4353085775
122	0.4352107691
123	0.4350346915
124	0.4347144674
125	0.4345412497
126	0.434403268
127	0.434135641
128	0.4340137149
129	0.4339620678
130	0.4336744915
131	0.4334795555
132	0.43333134
133	0.4332165085
134	0.4330476118
135	0.4329430859
136	0.4328689413
137	0.4327284446
138	0.4325744548
139	0.4323864948
140	0.4323039224
141	0.4322094099
142	0.4321173906
143	0.4319089459
144	0.4317786013
145	0.4314810973
146	0.4312663572
147	0.4311332297
148	0.431016366
149	0.4309202431
150	0.4307668885
151	0.4306870757
152	0.4305898481
153	0.4305493082
154	0.430432928
155	0.4302830229
156	0.4301132087
157	0.4299710161
158	0.4296941863
159	0.4296000921
160	0.4294336132
161	0.4292097191
162	0.4291087155
163	0.4288672699
164	0.4286962794
165	0.4285719803
166	0.4284695683
167	0.4284258306
168	0.4283565069
169	0.4282519599
170	0.4281259449
171	0.4279633414
172	0.4278589487
173	0.4276829272
174	0.4274880697
175	0.4274117938
176	0.4273111456
177	0.4271014296
178	0.4270355192
179	0.4269844314
180	0.4269079289
181	0.426805737
182	0.4267031553
183	0.4264656987
184	0.426347456
185	0.4261369417
186	0.4260768636
187	0.4259574531
188	0.4258331042
189	0.4257212111
190	0.425521562
191	0.4253742976
192	0.4253300945
193	0.4251693384
194	0.4251146767
195	0.425055558
196	0.4249537339
197	0.4248004917
198	0.4246529179
199	0.4246006475
200	0.4244474923
201	0.4243484333
202	0.4242636784
203	0.4240743187
204	0.4240428469
205	0.4238775962
206	0.4238064074
207	0.4236135628
208	0.4234787047
209	0.4233126786
210	0.4231504218
211	0.4230261866
212	0.422950087
213	0.4228770101
214	0.4228213717
215	0.4227202195
216	0.4225950532
217	0.4224979682
218	0.4223737425
219	0.4223032806
220	0.4221687766
221	0.4220326722
222	0.4219619477
223	0.4219009904
224	0.4217677371
225	0.4216646611
226	0.4213543923
227	0.4211981765
228	0.4210457142
229	0.4209449929
230	0.4209035471
231	0.4208131041
232	0.4207522795
233	0.420628998
234	0.4205068233
235	0.4202617661
236	0.4202072709
237	0.4200989482
238	0.4200035685
239	0.4199407157
240	0.4198806842
241	0.4197719173
242	0.4196230458
243	0.4193774909
244	0.4192478382
245	0.419191074
246	0.4191039123
247	0.4189568526
248	0.4188880711
249	0.4188068436
250	0.4186825488
251	0.4186034261
252	0.4184429594
253	0.4183468856
254	0.4182742599
255	0.418154597
256	0.4180291293
257	0.4179326428
258	0.4178659911
259	0.4177930265
260	0.4176769489
261	0.4176210745
262	0.4173453795
263	0.4172575686
264	0.417175498
265	0.4170171249
266	0.4169145195
267	0.4168082001
268	0.4166897979
269	0.4166342844
270	0.4165822846
271	0.4165465853
272	0.4164736567
273	0.416369631
274	0.4163420772
275	0.4162142737
276	0.4161187781
277	0.4160432709
278	0.4159177417
279	0.4157709829
280	0.4155078721
281	0.4154212654
282	0.4153520435
283	0.4152694772
284	0.4152080634
285	0.4151495594
286	0.415048878
287	0.4150310765
288	0.4148774821
289	0.4147761725
290	0.4146966004
291	0.4146287405
292	0.4145871596
293	0.4145205793
294	0.4143665554
295	0.4143216661
296	0.4142292711
297	0.4141612282
298	0.4141052028
299	0.4140288162
300	0.413845603
301	0.4137909715
302	0.41364681
303	0.4136266922
304	0.4135435984
305	0.4135078103
306	0.4133648406
307	0.4132622514
308	0.4131516548
309	0.4130872662
310	0.4130207125
311	0.4129383255
312	0.4127536121
313	0.412549547
314	0.4125081804
315	0.4124455517
316	0.4123913078
317	0.4123323657
318	0.4123089208
319	0.4122180663
320	0.412120511
321	0.4119951298
322	0.4119732859
323	0.411836565
324	0.4117009759
325	0.4115674031
326	0.4114136711
327	0.4113975509
328	0.4112382754
329	0.411139542
330	0.4110628727
331	0.4108976639
332	0.4107916068
333	0.4106442419
334	0.4105266248
335	0.410420639
336	0.4102875445
337	0.410188382
338	0.4101308896
339	0.4099797444
340	0.4099271381
341	0.4098028707
342	0.4097416388
343	0.4096914945
344	0.4096453156
345	0.409521624
346	0.4093389661
347	0.4092744324
348	0.4092126105
349	0.4091623219
350	0.4090129262
351	0.4088629346
352	0.4088268483
353	0.4087686447
354	0.4087193833
355	0.4086050284
356	0.4085552015
357	0.4084632194
358	0.4084148915
359	0.4083133822
360	0.4082427106
361	0.4081927387
362	0.4081290407
363	0.4080384054
364	0.4079586738
365	0.4078438044
366	0.4077774057
367	0.4076967734
368	0.4076424506
369	0.4076048577
370	0.4075048331
371	0.4074474036
372	0.4074054106
373	0.4073592749
374	0.40723613
375	0.4071820724
376	0.4071157212
377	0.4070779096
378	0.4070136206
379	0.4068524971
380	0.406760512
381	0.4067291403
382	0.4067148924
383	0.4066695105
384	0.4066222458
385	0.4065690671
386	0.4065116868
387	0.4063327249
388	0.4062854643
389	0.4062580167
390	0.4061832634
391	0.4060596922
392	0.4059866321
393	0.4059510118
394	0.4058895744
395	0.4058607812
396	0.4058078268
397	0.4057589735
398	0.405742389
399	0.4057176829
400	0.4056324411
401	0.4055758893
402	0.4055368988
403	0.4054879483
404	0.4054599621
405	0.4054043497
406	0.4053020587
407	0.405253078
408	0.4051976226
409	0.4051518611
410	0.405108487
411	0.4050155765
412	0.4049774872
413	0.4049209332
414	0.4048777988
415	0.4048390951
416	0.4047979192
417	0.4047654524
418	0.4047031845
419	0.404614143
420	0.4045286765
421	0.4044976785
422	0.404434124
423	0.4043832242
424	0.4042867742
425	0.4042371214
426	0.4041585875
427	0.4041049182
428	0.4039655592
429	0.4039106312
430	0.4038278944
431	0.4037234332
432	0.4035993984
433	0.4034904473
434	0.4034524049
435	0.4034113454
436	0.4033068697
437	0.4032686811
438	0.4032070657
439	0.4030906303
440	0.4029955806
441	0.4029231716
442	0.4028574457
443	0.4028230515
444	0.4027707052
445	0.4026844496
446	0.4025961295
447	0.4025727814
448	0.4025114853
449	0.4024529613
450	0.402374856
451	0.4022954232
452	0.4022435931
453	0.4021367575
454	0.4020807333
455	0.4020090283
456	0.40186795
457	0.4017758767
458	0.4017232613
459	0.4015988284
460	0.4015414134
461	0.4014580501
462	0.4013418268
463	0.401252971
464	0.4011732678
465	0.4010936032
466	0.401013714
467	0.4009293365
468	0.4008628533
469	0.4008137475
470	0.400769585
471	0.4007191209
472	0.400660069
473	0.4005031289
474	0.400428752
475	0.4003680049
476	0.4002915709
477	0.4001567594
478	0.4000894396
479	0.4000235931
480	0.3999600393
481	0.3998683689
482	0.3997646466
483	0.3997198947
484	0.3996544204
485	0.3995842265
486	0.3995108964
487	0.399464552
488	0.3993871865
489	0.3993263233
490	0.39920096
491	0.3991688244
492	0.3990904582
493	0.3990731677
494	0.399033408
495	0.3989662863
496	0.3988346754
497	0.3987466857
498	0.3986616434
499	0.3985550176
500	0.398497873
501	0.3984426015
502	0.3984019115
503	0.3983435763
504	0.398276538
505	0.3982059634
506	0.3981821634
507	0.3981263092
508	0.3980766521
509	0.3980114667
510	0.397911475
511	0.3978710454
512	0.3978332611
513	0.3977253369
514	0.3976518413
515	0.3975551305
516	0.3974520314
517	0.3974098552
518	0.3973207902
519	0.3972478446
520	0.3971699428
521	0.397097268
522	0.3970252251
523	0.3969542169
524	0.396899479
525	0.3967719064
526	0.396687997
527	0.396650978
528	0.3965263197
529	0.3964641082
530	0.3963755961
531	0.3962704452
532	0.3962153664
533	0.3961508783
534	0.3961235098
535	0.3960826187
536	0.3960180541
537	0.395975974
538	0.3959210156
539	0.3958135115
540	0.3957561416
541	0.3956750636
542	0.3955981882
543	0.3954763824
544	0.3953691498
545	0.3953090527
546	0.3952709844
547	0.3952533421
548	0.3951791975
549	0.3950947447
550	0.3950345795
551	0.3950023287
552	0.3948873429
553	0.3948248526
554	0.394814904
555	0.3947697545
556	0.3947087121
557	0.3946458227
558	0.3945545637
559	0.3944874425
560	0.394406646
561	0.394369283
562	0.394332816
563	0.3942508901
564	0.394179478
565	0.3941412347
566	0.3940705709
567	0.3940015686
568	0.3939522811
569	0.3938930764
570	0.3937863963
571	0.3937279435
572	0.393614204
573	0.3935752615
574	0.3935295921
575	0.3934386573
576	0.3933080757
577	0.3932557673
578	0.3932108648
579	0.3931116784
580	0.3930814927
581	0.3930480062
582	0.3929918768
583	0.3929013662
584	0.3928872895
585	0.3928616235
586	0.392832944
587	0.3927400124
588	0.3927008435
589	0.3926807881
590	0.3925886028
591	0.3925366743
