iter	Passed	Remaining
0	25	25116
1	49	24460
2	80	26669
3	111	27850
4	141	28169
5	170	28216
6	197	28063
7	225	27944
8	256	28210
9	285	28218
10	310	27953
11	339	27989
12	367	27906
13	392	27644
14	423	27811
15	450	27726
16	478	27652
17	507	27673
18	537	27731
19	562	27544
20	589	27480
21	621	27638
22	656	27868
23	688	28006
24	721	28154
25	748	28042
26	772	27843
27	798	27708
28	824	27602
29	848	27434
30	873	27296
31	895	27097
32	921	27012
33	947	26919
34	971	26784
35	995	26667
36	1020	26562
37	1046	26494
38	1067	26312
39	1090	26178
40	1113	26035
41	1136	25933
42	1159	25807
43	1179	25626
44	1202	25528
45	1225	25413
46	1251	25368
47	1270	25206
48	1296	25168
49	1321	25113
50	1343	24992
51	1365	24891
52	1386	24775
53	1410	24703
54	1430	24578
55	1450	24456
56	1476	24425
57	1498	24342
58	1518	24212
59	1541	24153
60	1562	24050
61	1583	23950
62	1613	24002
63	1646	24080
64	1678	24142
65	1701	24082
66	1727	24051
67	1746	23938
68	1769	23868
69	1796	23869
70	1816	23767
71	1841	23732
72	1865	23684
73	1882	23552
74	1905	23501
75	1927	23436
76	1955	23434
77	1985	23472
78	2016	23514
79	2047	23549
80	2074	23532
81	2096	23472
82	2121	23434
83	2143	23378
84	2167	23336
85	2184	23218
86	2209	23186
87	2231	23125
88	2254	23076
89	2277	23032
90	2296	22939
91	2317	22870
92	2346	22884
93	2374	22883
94	2399	22862
95	2423	22818
96	2448	22791
97	2474	22779
98	2502	22777
99	2529	22763
100	2554	22738
101	2580	22717
102	2610	22729
103	2641	22760
104	2677	22820
105	2709	22855
106	2737	22850
107	2761	22811
108	2790	22808
109	2813	22764
110	2840	22753
111	2868	22742
112	2895	22724
113	2920	22698
114	2953	22732
115	2985	22749
116	3021	22802
117	3053	22819
118	3079	22798
119	3101	22745
120	3128	22724
121	3150	22675
122	3172	22620
123	3191	22544
124	3218	22526
125	3243	22498
126	3264	22437
127	3285	22381
128	3305	22316
129	3329	22284
130	3354	22253
131	3378	22213
132	3401	22170
133	3420	22106
134	3444	22068
135	3465	22019
136	3489	21979
137	3512	21937
138	3536	21904
139	3556	21845
140	3578	21802
141	3603	21772
142	3631	21764
143	3660	21759
144	3688	21751
145	3713	21721
146	3734	21668
147	3758	21639
148	3781	21600
149	3802	21549
150	3828	21523
151	3857	21520
152	3880	21481
153	3905	21455
154	3933	21444
155	3960	21429
156	3989	21421
157	4018	21417
158	4040	21369
159	4062	21326
160	4083	21281
161	4105	21238
162	4131	21216
163	4154	21178
164	4175	21128
165	4195	21079
