iter	RMSE
0	1.480095818
1	1.445186115
2	1.416201352
3	1.391887046
4	1.371647999
5	1.353578708
6	1.338259816
7	1.322818398
8	1.312466761
9	1.303029746
10	1.293216318
11	1.28598481
12	1.276976078
13	1.272181393
14	1.267175032
15	1.261917851
16	1.256723698
17	1.250700625
18	1.245633645
19	1.241588446
20	1.237299973
21	1.234077755
22	1.229762099
23	1.226398195
24	1.224564921
25	1.222491141
26	1.21965073
27	1.21463965
28	1.21107949
29	1.209493034
30	1.206510658
31	1.203156598
32	1.201331883
33	1.1997079
34	1.19719531
35	1.194786045
36	1.192699917
37	1.190764382
38	1.189552516
39	1.187744349
40	1.186378546
41	1.184050276
42	1.18137637
43	1.180083297
44	1.178675089
45	1.177454707
46	1.176050988
47	1.174913955
48	1.173726893
49	1.172067888
50	1.170774866
51	1.169432532
52	1.168028969
53	1.167238714
54	1.165459214
55	1.163905586
56	1.163308877
57	1.162147961
58	1.161792886
59	1.160078174
60	1.15846105
61	1.157229529
62	1.155441653
63	1.153972686
64	1.152224
65	1.151546597
66	1.150506432
67	1.149255204
68	1.147313848
69	1.14680709
70	1.145204812
71	1.144565737
72	1.143570264
73	1.140827482
74	1.139653889
75	1.139046619
76	1.138426996
77	1.136620706
78	1.13544354
79	1.134197677
80	1.133172015
81	1.131770725
82	1.130304293
83	1.12948894
84	1.12909831
85	1.128137765
86	1.126145481
87	1.125541137
88	1.124210202
89	1.123336996
90	1.121363009
91	1.119768041
92	1.119110162
93	1.117158369
94	1.115607648
95	1.115027575
96	1.113484709
97	1.112060354
98	1.11069087
99	1.108691935
100	1.10731722
101	1.10641456
102	1.105051747
103	1.103766953
104	1.10208668
105	1.100982114
106	1.099724957
107	1.098146725
108	1.096798515
109	1.095847423
110	1.0949578
111	1.093655126
112	1.091594593
113	1.090464885
114	1.089597983
115	1.087938639
116	1.087053042
117	1.085813016
118	1.084566868
119	1.0829128
120	1.081607298
121	1.080745935
122	1.079231744
123	1.078269543
124	1.076572954
125	1.075701945
126	1.07471145
127	1.073955249
128	1.073184812
129	1.0716127
130	1.070747002
131	1.068749857
132	1.067936351
133	1.067253759
134	1.06614199
135	1.064964061
136	1.063879871
137	1.062971108
138	1.062096886
139	1.060679263
140	1.058867588
141	1.058155153
142	1.056924397
143	1.055862653
144	1.054646873
145	1.054186269
146	1.052663912
147	1.051958427
148	1.051167517
149	1.050840594
150	1.048834332
151	1.047090644
152	1.046185171
153	1.045036882
154	1.044274049
155	1.043381166
156	1.042104522
157	1.041339361
158	1.040175257
159	1.039364077
160	1.038226086
161	1.03653509
162	1.035522943
163	1.034118541
164	1.032683211
165	1.031193992
166	1.030796565
167	1.02999482
168	1.029057424
169	1.028416116
170	1.027564627
171	1.026360214
172	1.025265848
173	1.024390372
174	1.023441163
175	1.022361826
176	1.021082871
177	1.019320409
178	1.018310647
179	1.017758502
180	1.016305943
181	1.01564891
182	1.015079288
183	1.014361314
184	1.013068404
185	1.011547133
186	1.010615728
187	1.010144671
188	1.00901255
189	1.008138398
190	1.007547993
191	1.007034776
192	1.006257488
193	1.005385579
194	1.004480167
195	1.003916638
196	1.002997943
197	1.001983832
198	1.001102499
199	0.9996531459
200	0.9990457568
201	0.9980896798
202	0.9974727989
203	0.9969781278
204	0.995908028
205	0.9945499605
206	0.9936807647
207	0.9929943056
208	0.9919831463
209	0.9907551176
210	0.9897040019
211	0.9888191251
212	0.9880126556
213	0.9874152016
214	0.9868697236
215	0.9857728318
216	0.9852836159
217	0.9843710176
218	0.9836294649
219	0.982050019
220	0.9812153065
221	0.9806694913
222	0.9795820606
223	0.9791593708
224	0.9786662028
225	0.9781286658
226	0.977004567
227	0.9767579825
228	0.976326965
229	0.9755132691
230	0.9743533986
231	0.972995315
232	0.9719744274
233	0.9710245123
234	0.9700993635
235	0.9691655912
236	0.9684533282
237	0.9680149837
238	0.9675421356
239	0.9668086847
240	0.9662193589
241	0.9655690037
242	0.9645843107
243	0.9639952544
244	0.9630508407
245	0.9624216992
246	0.9614990732
247	0.9606649421
248	0.9605764787
249	0.9599426908
250	0.958933059
251	0.9584807814
252	0.9569848271
253	0.9557936641
254	0.9553239706
255	0.9545639683
256	0.954416899
257	0.9538001246
258	0.9527628525
259	0.951601434
260	0.9504982754
261	0.9497393208
262	0.9493639357
263	0.9487374513
264	0.9482995611
265	0.9472050961
266	0.9466581217
267	0.9459059449
268	0.9450564419
269	0.944349032
270	0.9434426002
271	0.9427859739
272	0.9420173704
273	0.9409806328
274	0.9399902144
275	0.9390494822
276	0.9385396878
277	0.9376794492
278	0.9372234377
279	0.9361511443
280	0.9354419815
281	0.9347114841
282	0.9340377505
283	0.9333347607
284	0.9325371913
285	0.931998151
286	0.9310910876
287	0.9299632366
288	0.9291270286
289	0.928738727
290	0.9277993331
291	0.9274056967
292	0.9269158204
293	0.9264524352
294	0.9258521272
295	0.9250582568
296	0.924367063
297	0.9241904975
298	0.9237532842
299	0.9228160753
