iter	Passed	Remaining
0	146	43944
1	149	22227
2	151	14990
3	153	11369
4	155	9195
5	159	7795
6	161	6756
7	163	5977
8	166	5369
9	168	4878
10	170	4480
11	173	4160
12	175	3879
13	178	3649
14	182	3460
15	184	3272
16	186	3112
17	189	2965
18	191	2834
19	194	2729
20	198	2641
21	202	2561
22	205	2475
23	208	2400
24	211	2330
25	214	2257
26	216	2188
27	219	2134
28	223	2089
29	226	2034
30	228	1980
31	230	1930
32	232	1884
33	236	1847
34	238	1804
35	240	1764
36	243	1727
37	245	1691
38	247	1658
39	251	1634
40	254	1606
41	256	1575
42	258	1547
43	261	1518
44	263	1492
45	266	1469
46	268	1443
47	270	1419
48	272	1396
49	274	1373
50	276	1352
51	280	1336
52	282	1316
53	284	1296
54	286	1278
55	289	1259
56	291	1242
57	294	1227
58	297	1214
59	299	1197
60	301	1181
61	303	1166
62	305	1150
63	308	1136
64	311	1125
65	313	1111
66	315	1097
67	317	1084
68	320	1071
69	322	1058
70	324	1046
71	326	1035
72	329	1023
73	331	1011
74	333	1000
75	335	989
76	337	977
77	339	967
78	342	958
79	344	948
80	346	937
81	349	928
82	351	918
83	353	909
84	355	900
85	358	891
86	360	882
87	362	873
88	364	865
89	367	858
90	371	853
91	374	846
92	376	839
93	379	831
94	382	824
95	385	818
96	387	811
97	391	806
98	394	800
99	398	796
100	401	791
101	405	787
102	409	782
103	413	778
104	416	773
105	421	770
106	424	765
107	428	762
108	432	758
109	436	754
110	440	749
111	443	744
112	447	739
113	452	738
114	456	733
115	459	728
116	462	723
117	466	718
118	470	715
119	473	710
120	476	705
121	479	700
122	484	696
123	487	691
124	490	686
125	493	681
126	496	676
127	500	672
128	503	667
129	507	663
130	510	658
131	513	654
132	518	651
133	527	653
134	536	655
135	542	653
136	551	656
137	562	660
138	589	682
139	592	677
140	596	673
141	600	668
142	608	668
143	615	666
144	620	663
145	624	658
146	628	653
147	631	648
148	634	643
149	637	637
150	641	632
151	644	627
152	647	622
153	651	617
154	654	612
155	657	607
156	661	602
157	721	648
158	723	641
159	726	636
160	729	630
161	733	624
162	737	620
163	742	615
164	745	610
165	748	604
166	751	598
167	753	592
168	756	586
169	758	579
170	760	573
171	763	568
172	766	562
173	768	556
174	771	550
175	773	545
176	776	539
177	779	534
178	781	528
179	784	522
180	786	517
181	789	512
182	792	506
183	794	501
184	797	495
185	799	490
186	801	484
187	804	479
188	807	474
189	810	469
190	812	463
191	814	458
192	817	453
193	820	448
194	822	442
195	824	437
196	827	432
197	829	427
198	831	422
199	834	417
200	836	412
201	839	407
202	841	402
203	843	397
204	846	392
205	848	387
206	851	382
207	854	377
208	856	372
209	858	368
210	861	363
211	863	358
212	866	353
213	869	349
214	871	344
215	873	339
216	875	335
217	878	330
218	880	325
219	883	321
220	885	316
221	888	312
222	890	307
223	892	302
224	895	298
225	898	294
226	900	289
227	902	285
228	905	280
229	907	276
230	910	271
231	913	267
232	916	263
233	919	259
234	921	254
235	923	250
236	926	246
237	928	241
238	931	237
239	933	233
240	936	229
241	938	224
242	941	220
243	943	216
244	946	212
245	949	208
246	951	204
247	953	200
248	957	196
249	959	191
250	962	187
251	965	183
252	967	179
253	970	175
254	974	171
255	977	167
256	980	164
257	983	160
258	986	156
259	989	152
260	992	148
261	994	144
262	997	140
263	999	136
264	1002	132
265	1005	128
266	1008	124
267	1011	120
268	1014	116
269	1016	112
270	1019	109
271	1022	105
272	1025	101
273	1027	97
274	1030	93
275	1034	89
276	1037	86
277	1040	82
278	1043	78
279	1046	74
280	1049	70
281	1051	67
282	1054	63
283	1058	59
284	1060	55
285	1063	52
286	1066	48
287	1068	44
288	1071	40
289	1074	37
290	1077	33
291	1079	29
292	1082	25
293	1084	22
294	1087	18
295	1090	14
296	1093	11
297	1095	7
298	1098	3
299	1101	0
