iter	RMSE
0	3.04208404
1	2.926716618
2	2.822667758
3	2.728153739
4	2.64911114
5	2.575287586
6	2.508801764
7	2.448428964
8	2.394552434
9	2.348757834
10	2.305806369
11	2.266932494
12	2.233330184
13	2.202793563
14	2.177084911
15	2.154411858
16	2.132531549
17	2.11285031
18	2.095150484
19	2.07771599
20	2.062919971
21	2.05114929
22	2.039225361
23	2.028984942
24	2.020807328
25	2.012312862
26	2.004433685
27	1.997414746
28	1.990426547
29	1.98471258
30	1.978933491
31	1.974148121
32	1.968695401
33	1.964091443
34	1.95988792
35	1.956233397
36	1.952814591
37	1.949263101
38	1.946294777
39	1.942974505
40	1.939963047
41	1.93725706
42	1.934678073
43	1.932141353
44	1.929813591
45	1.927757807
46	1.926393229
47	1.923783036
48	1.921717764
49	1.919983314
50	1.918246139
51	1.916724516
52	1.914180312
53	1.912255034
54	1.910372865
55	1.909141893
56	1.907295484
57	1.905880736
58	1.904979556
59	1.903003792
60	1.901430399
61	1.900339104
62	1.898597071
63	1.897964603
64	1.896106431
65	1.895494525
66	1.894599752
67	1.893381209
68	1.892252815
69	1.890978281
70	1.890295778
71	1.889134298
72	1.888057126
73	1.887152208
74	1.886581108
75	1.885383348
76	1.884750236
77	1.884386294
78	1.883172316
79	1.882371646
80	1.88177436
81	1.881039652
82	1.880077092
83	1.879344781
84	1.878655898
85	1.878003942
86	1.877199545
87	1.876364547
88	1.875596867
89	1.875027695
90	1.874388632
91	1.873548375
92	1.872611767
93	1.872081251
94	1.871300616
95	1.870939217
96	1.870194992
97	1.869485599
98	1.868589962
99	1.867929232
100	1.867160582
101	1.866540004
102	1.865918748
103	1.865528164
104	1.86496939
105	1.864314958
106	1.863861418
107	1.863232464
108	1.862737684
109	1.862177854
110	1.861674392
111	1.860949011
112	1.86027054
113	1.860087503
114	1.859518025
115	1.858864873
116	1.85861484
117	1.857943401
118	1.85765238
119	1.857310827
120	1.85658728
121	1.85630598
122	1.856211251
123	1.855614965
124	1.855309776
125	1.854898413
126	1.854499859
127	1.853918888
128	1.853383718
129	1.852981452
130	1.852667087
131	1.852055551
132	1.851566237
133	1.851049407
134	1.850593413
135	1.850222916
136	1.849876768
137	1.849220387
138	1.848569672
139	1.848372157
140	1.848141896
141	1.847629419
142	1.84727471
143	1.846813642
144	1.84635824
145	1.84589167
146	1.845359351
147	1.844942014
148	1.844413088
149	1.844002872
150	1.843576066
151	1.843182764
152	1.842836254
153	1.842627066
154	1.842278558
155	1.842007903
156	1.84165402
157	1.841189734
158	1.840912336
159	1.840332857
160	1.839912201
161	1.839713418
162	1.839209582
163	1.838759576
164	1.838421292
165	1.838044126
166	1.837506235
167	1.837023257
168	1.8366235
169	1.836079505
170	1.83582231
171	1.83550685
172	1.835235713
173	1.834612594
174	1.834301021
175	1.834101587
176	1.833450262
177	1.833134386
178	1.832678233
179	1.832145223
180	1.831781715
181	1.831452394
182	1.831048871
183	1.830686596
184	1.830364561
185	1.830131871
186	1.829775157
187	1.829544022
188	1.829014024
189	1.828710473
190	1.828415097
191	1.82820196
192	1.827708983
193	1.8273219
194	1.82701119
195	1.826578214
196	1.826456637
197	1.826163919
198	1.825868018
199	1.8255458
200	1.825174796
201	1.824922026
202	1.824589345
203	1.82437849
204	1.824068748
205	1.823638174
206	1.823169774
207	1.822999141
208	1.822634709
209	1.822218084
210	1.821871482
211	1.821639556
212	1.821435571
213	1.82118147
214	1.820854435
215	1.82042992
216	1.819991142
217	1.819644128
218	1.819403566
219	1.818889587
220	1.818585477
221	1.818426115
222	1.818239449
223	1.817924225
224	1.817787023
225	1.817492365
226	1.817144953
227	1.816836519
228	1.816602275
229	1.816222351
230	1.81595749
231	1.815733627
232	1.815670879
233	1.815345833
234	1.814906644
235	1.814435686
236	1.814222651
237	1.814040661
238	1.813763942
239	1.813543826
240	1.813221773
241	1.812828385
242	1.812435298
243	1.812193781
244	1.811894927
245	1.811602283
246	1.811371406
247	1.81107502
248	1.810785965
