iter	Passed	Remaining
0	169	169047
1	184	92002
2	201	66919
3	216	53981
4	236	46987
5	253	41993
6	269	38294
7	286	35505
8	303	33379
9	321	31800
10	336	30256
11	353	29070
12	370	28101
13	387	27325
14	410	26975
15	426	26230
16	444	25673
17	461	25186
18	478	24687
19	492	24131
20	506	23595
21	521	23170
22	537	22820
23	555	22595
24	572	22328
25	592	22205
26	609	21956
27	626	21734
28	643	21537
29	657	21253
30	673	21054
31	687	20804
32	702	20598
33	716	20363
34	733	20228
35	746	19987
36	760	19797
37	777	19673
38	790	19483
39	806	19361
40	822	19239
41	838	19128
42	850	18939
43	868	18864
44	880	18689
45	897	18620
46	910	18456
47	926	18374
48	941	18271
49	956	18179
50	972	18100
51	987	18009
52	1002	17919
53	1018	17842
54	1036	17811
55	1049	17686
56	1062	17575
57	1074	17458
58	1089	17376
59	1105	17315
60	1120	17255
61	1135	17174
62	1152	17146
63	1168	17091
64	1183	17027
65	1198	16956
66	1212	16882
67	1231	16881
68	1246	16823
69	1259	16739
70	1272	16655
71	1289	16614
72	1301	16533
73	1316	16472
74	1329	16402
75	1342	16322
76	1355	16248
77	1368	16181
78	1382	16115
79	1394	16041
80	1408	15980
81	1422	15930
82	1436	15869
83	1452	15843
84	1466	15787
85	1483	15762
86	1497	15719
87	1514	15691
88	1536	15725
89	1550	15678
90	1565	15637
91	1580	15599
92	1596	15566
93	1613	15552
94	1631	15543
95	1644	15482
96	1658	15441
97	1674	15415
98	1692	15405
99	1707	15363
100	1723	15343
101	1740	15323
102	1759	15321
103	1774	15291
104	1794	15296
105	1814	15307
106	1832	15294
107	1849	15279
108	1867	15262
109	1885	15257
110	1903	15241
111	1916	15198
112	1930	15155
113	1942	15099
114	1956	15058
115	1969	15012
116	1986	14989
117	2002	14966
118	2018	14941
119	2033	14909
120	2050	14894
121	2065	14866
122	2079	14826
123	2094	14799
124	2112	14789
125	2130	14777
126	2146	14752
127	2163	14738
128	2182	14736
129	2200	14725
130	2218	14714
131	2235	14701
132	2249	14665
133	2262	14624
134	2277	14595
135	2290	14550
136	2307	14533
137	2322	14505
138	2342	14509
139	2354	14465
140	2368	14429
141	2384	14409
142	2399	14381
143	2417	14370
144	2433	14350
145	2451	14341
146	2466	14313
147	2482	14293
148	2498	14270
149	2514	14247
150	2529	14220
151	2543	14191
152	2560	14173
153	2573	14135
154	2588	14111
155	2603	14084
156	2620	14070
157	2634	14040
158	2649	14015
159	2665	13995
160	2679	13962
161	2693	13930
162	2708	13907
163	2725	13892
164	2740	13870
165	2756	13850
166	2774	13839
167	2790	13817
168	2807	13804
169	2825	13794
170	2840	13769
171	2855	13745
172	2871	13728
173	2888	13710
174	2900	13672
175	2914	13647
176	2932	13635
177	2950	13623
178	2966	13605
179	2983	13591
180	2999	13572
181	3015	13554
182	3032	13538
183	3048	13519
184	3063	13495
185	3078	13471
186	3093	13451
187	3111	13437
188	3131	13436
189	3144	13406
190	3162	13393
191	3179	13382
192	3197	13368
193	3210	13338
194	3225	13315
195	3240	13294
196	3253	13263
197	3268	13238
198	3280	13204
199	3297	13191
200	3311	13161
201	3324	13131
202	3338	13107
203	3351	13078
204	3366	13055
205	3382	13038
206	3399	13022
207	3414	13002
208	3429	12978
209	3442	12948
210	3455	12922
211	3471	12903
212	3486	12881
213	3499	12853
214	3515	12835
215	3530	12816
216	3545	12791
217	3557	12763
218	3570	12734
219	3586	12714
220	3602	12698
221	3617	12677
222	3632	12656
223	3647	12637
224	3665	12624
225	3679	12602
226	3693	12579
227	3706	12551
228	3719	12522
229	3733	12500
230	3748	12479
231	3762	12456
232	3774	12426
233	3791	12412
234	3807	12393
235	3823	12376
236	3838	12357
237	3850	12329
238	3866	12312
239	3881	12292
240	3896	12270
241	3912	12255
242	3929	12240
243	3944	12221
244	3959	12201
245	3976	12187
246	3990	12164
247	4002	12136
248	4015	12112
249	4031	12094
250	4047	12078
251	4067	12074
252	4084	12061
253	4097	12034
254	4111	12013
255	4127	11994
256	4137	11960
257	4149	11935
258	4164	11915
259	4179	11896
260	4197	11885
261	4213	11868
262	4232	11861
263	4247	11841
264	4261	11820
265	4275	11797
266	4289	11775
267	4303	11753
268	4316	11730
269	4329	11706
270	4345	11688
271	4358	11664
272	4373	11645
273	4390	11633
274	4404	11612
275	4417	11587
276	4433	11573
277	4448	11552
278	4460	11527
279	4473	11503
280	4488	11486
281	4503	11465
282	4519	11450
283	4534	11431
284	4550	11415
285	4566	11401
286	4583	11386
287	4597	11364
288	4609	11340
289	4624	11322
290	4638	11300
291	4653	11282
292	4669	11267
293	4686	11253
294	4702	11237
295	4717	11220
296	4731	11199
297	4747	11183
298	4761	11163
299	4777	11147
300	4796	11139
301	4812	11123
302	4828	11106
303	4845	11093
304	4857	11067
305	4871	11049
306	4885	11028
307	4899	11007
308	4915	10992
309	4933	10980
310	4948	10963
311	4964	10946
312	4977	10925
313	4994	10912
314	5026	10930
315	5038	10905
316	5051	10884
317	5065	10863
318	5081	10848
319	5096	10829
320	5112	10814
321	5128	10799
322	5144	10783
323	5157	10760
324	5173	10744
325	5188	10727
326	5203	10708
327	5217	10688
328	5232	10671
329	5250	10660
330	5266	10644
331	5283	10630
332	5299	10614
333	5314	10598
334	5331	10583
335	5346	10565
336	5362	10549
337	5378	10533
338	5393	10515
339	5407	10497
340	5422	10479
341	5436	10460
342	5455	10449
343	5471	10433
344	5485	10415
345	5500	10396
346	5517	10382
347	5532	10365
348	5546	10346
349	5564	10334
350	5582	10322
351	5597	10304
352	5613	10289
353	5627	10269
354	5643	10253
355	5659	10237
356	5675	10222
357	5689	10203
358	5705	10186
359	5723	10174
360	5737	10156
361	5753	10139
362	5769	10125
363	5788	10113
364	5800	10091
365	5815	10073
366	5829	10055
367	5845	10039
368	5860	10021
369	5877	10007
370	5895	9995
371	5911	9979
372	5926	9962
373	5941	9945
374	5958	9930
375	5971	9909
376	5988	9896
377	6002	9876
378	6013	9853
379	6028	9835
380	6042	9816
381	6056	9797
382	6069	9778
383	6084	9759
384	6096	9738
385	6108	9716
386	6123	9699
387	6136	9679
388	6149	9659
389	6163	9640
390	6175	9619
391	6188	9597
392	6200	9576
393	6214	9557
394	6226	9537
395	6241	9519
396	6256	9503
397	6268	9481
398	6279	9459
399	6293	9440
400	6310	9427
401	6323	9407
402	6337	9388
403	6351	9370
404	6368	9356
405	6382	9338
406	6396	9319
407	6410	9301
408	6428	9288
409	6443	9271
410	6458	9255
411	6473	9239
412	6490	9224
413	6505	9208
414	6522	9193
415	6538	9178
416	6562	9174
417	6573	9153
418	6586	9132
419	6601	9116
420	6615	9098
421	6633	9085
422	6648	9069
423	6664	9053
424	6681	9039
425	6695	9021
426	6713	9009
427	6728	8991
428	6743	8975
429	6765	8968
430	6781	8952
431	6793	8931
432	6809	8916
433	6828	8904
434	6842	8887
435	6856	8869
436	6870	8850
437	6886	8836
438	6905	8824
439	6923	8811
440	6942	8800
441	6956	8782
442	6974	8768
443	6991	8755
444	7005	8737
445	7020	8721
446	7036	8705
447	7050	8687
448	7066	8672
449	7083	8657
450	7097	8640
451	7111	8622
452	7127	8606
453	7141	8588
454	7162	8579
455	7178	8563
456	7193	8547
457	7210	8532
458	7224	8515
459	7239	8498
460	7252	8479
461	7267	8463
462	7285	8450
463	7298	8431
464	7313	8413
465	7329	8399
466	7345	8383
467	7362	8369
468	7378	8354
469	7392	8336
470	7407	8320
471	7422	8303
472	7437	8286
473	7453	8271
474	7466	8252
475	7482	8236
476	7498	8221
477	7515	8207
478	7527	8187
479	7540	8169
480	7558	8156
481	7573	8139
482	7585	8119
483	7597	8100
484	7612	8082
485	7625	8064
486	7636	8044
487	7649	8025
488	7662	8007
489	7676	7989
490	7695	7977
491	7711	7962
492	7726	7946
493	7739	7927
494	7754	7910
495	7766	7892
496	7779	7873
497	7791	7854
498	7803	7834
499	7818	7818
500	7831	7800
501	7845	7782
502	7859	7766
503	7875	7750
504	7886	7730
505	7901	7714
506	7916	7697
507	7930	7681
508	7948	7667
509	7964	7652
510	7980	7637
511	7995	7620
512	8009	7603
513	8026	7588
514	8040	7571
515	8054	7554
516	8068	7538
517	8081	7520
518	8098	7505
519	8109	7485
520	8123	7468
521	8135	7449
522	8149	7432
523	8164	7416
524	8177	7398
525	8195	7385
526	8209	7368
527	8224	7352
528	8238	7334
529	8254	7320
530	8269	7304
531	8282	7286
532	8295	7268
533	8309	7251
534	8323	7234
535	8340	7220
536	8354	7203
537	8368	7185
538	8380	7167
539	8393	7150
540	8409	7134
541	8424	7118
542	8438	7101
543	8452	7084
544	8466	7068
545	8480	7051
546	8494	7034
547	8509	7019
548	8524	7003
549	8538	6985
550	8552	6968
551	8565	6951
552	8579	6934
553	8594	6919
554	8610	6903
555	8625	6888
556	8640	6871
557	8652	6853
558	8663	6834
559	8679	6819
560	8693	6803
561	8708	6787
562	8721	6769
563	8741	6757
564	8758	6743
565	8775	6728
566	8794	6716
567	8810	6700
568	8825	6684
569	8842	6670
570	8855	6653
571	8869	6636
572	8883	6619
573	8897	6603
574	8915	6590
575	8932	6575
576	8947	6559
577	8966	6546
578	8984	6532
579	9000	6517
580	9017	6502
581	9033	6487
582	9050	6473
583	9069	6460
584	9085	6445
585	9101	6430
586	9116	6414
587	9136	6401
588	9152	6386
589	9170	6372
590	9189	6359
591	9204	6343
592	9222	6329
593	9238	6314
594	9252	6298
595	9272	6285
596	9289	6270
597	9309	6258
598	9323	6241
599	9338	6225
600	9351	6208
601	9365	6191
602	9380	6175
603	9397	6161
604	9417	6148
605	9434	6134
606	9454	6121
607	9472	6107
608	9490	6093
609	9508	6078
610	9524	6063
611	9545	6051
612	9560	6035
613	9576	6020
614	9593	6005
615	9608	5989
616	9625	5974
617	9640	5959
618	9658	5944
619	9678	5932
620	9698	5919
621	9719	5906
622	9739	5893
623	9756	5879
624	9773	5863
625	9791	5849
626	9809	5835
627	9823	5819
628	9836	5801
629	9850	5785
630	9864	5768
631	9878	5752
632	9894	5736
633	9915	5724
634	9933	5709
635	9951	5695
